Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regrassion multi data,Chrome 85.0.4183.102,,,2020-09-23 21:18:59,2020-09-23 21:19:17,18.020s,PASSED
,,,,,,,
Test Cases/TestCase_008_Data_Driven_Testing,Chrome 85.0.4183.102,,,2020-09-23 21:18:59,2020-09-23 21:19:17,17.708s,PASSED
"openBrowser(""https://opensource-demo.orangehrmlive.com/index.php/auth/validateCredentials"")",Chrome 85.0.4183.102,,,2020-09-23 21:19:00,2020-09-23 21:19:15,15.028s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_LOGIN Panel_txtUsername""), Username)",Chrome 85.0.4183.102,,,2020-09-23 21:19:15,2020-09-23 21:19:16,0.833s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_txtPassword""), Password)",Chrome 85.0.4183.102,,,2020-09-23 21:19:16,2020-09-23 21:19:17,0.653s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_Submit""))",Chrome 85.0.4183.102,,,2020-09-23 21:19:17,2020-09-23 21:19:17,0.382s,PASSED
