Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite_002,Chrome 85.0.4183.121,,,2020-09-24 11:19:09,2020-09-24 11:19:16,6.376s,PASSED
,,,,,,,
Test Cases/TestCase_010_Use_Execution_Profile,Chrome 85.0.4183.121,,,2020-09-24 11:19:10,2020-09-24 11:19:16,5.993s,PASSED
openBrowser(URL),Chrome 85.0.4183.121,,,2020-09-24 11:19:10,2020-09-24 11:19:16,5.694s,PASSED
